"2/13/2012 22:14:0",83,47.30,84.76,83.64,78.91,72.05,65.30,60.35
"2/13/2012 22:14:4",82,47.30,84.54,83.64,78.80,72.16,65.30,60.46
"2/13/2012 22:14:11",82,47.41,84.54,83.52,78.80,72.16,65.30,60.46
"2/13/2012 22:14:14",82,47.41,84.43,83.52,78.69,72.05,65.30,60.35
"2/13/2012 22:14:16",82,47.41,84.43,83.52,78.57,72.05,65.19,60.46
"2/13/2012 22:14:18",82,47.41,84.31,83.41,78.57,72.05,65.19,60.24
"2/13/2012 22:14:22",82,47.41,84.20,83.41,78.57,72.05,65.30,60.46
"2/13/2012 22:14:26",82,47.41,84.20,83.41,78.57,72.05,65.30,60.46
"2/13/2012 22:14:32",82,47.41,84.09,83.41,78.46,72.05,65.30,60.46
"2/13/2012 22:14:37",82,47.41,83.97,83.30,78.35,72.05,65.30,60.46
"2/13/2012 22:14:39",82,47.41,83.97,83.19,78.35,71.94,65.30,60.46
"2/13/2012 22:14:43",82,47.41,83.97,83.07,78.24,71.94,65.30,60.46
"2/13/2012 22:14:44",82,47.41,83.97,82.85,78.24,71.94,65.30,60.46
"2/13/2012 22:14:48",82,47.41,83.97,82.74,78.12,71.94,65.30,60.46
"2/13/2012 22:14:54",81,47.41,83.86,82.62,78.12,72.05,65.30,60.46
"2/13/2012 22:14:57",82,47.41,83.86,82.40,78.12,71.94,65.30,60.24
"2/13/2012 22:14:59",81,47.41,83.86,82.40,78.01,71.94,65.30,60.46
"2/13/2012 22:15:2",81,47.41,83.75,82.29,78.01,71.94,65.30,60.46
"2/13/2012 22:15:6",82,47.53,83.75,82.40,78.01,72.05,65.30,60.13
"2/13/2012 22:15:10",81,47.41,83.75,82.29,78.01,71.94,65.30,60.46
"2/13/2012 22:15:18",82,47.41,83.64,82.06,78.01,72.05,65.30,60.13
"2/13/2012 22:15:19",81,47.41,83.52,82.18,77.90,72.05,65.30,60.46
"2/13/2012 22:15:22",81,47.41,83.52,82.18,77.90,71.94,65.30,60.46
"2/13/2012 22:15:25",81,47.41,83.41,82.06,77.90,71.94,65.30,60.13
"2/13/2012 22:15:28",80,47.41,83.30,82.06,77.79,71.94,65.30,60.46
"2/13/2012 22:15:33",80,47.53,83.19,81.95,77.68,71.82,65.30,60.46
"2/13/2012 22:15:36",80,47.41,83.07,82.06,77.68,71.82,65.30,60.46
"2/13/2012 22:15:40",80,47.41,83.07,82.06,77.56,71.82,65.30,60.46
"2/13/2012 22:15:43",80,47.41,82.96,81.95,77.45,71.82,65.30,60.46
"2/13/2012 22:15:49",80,47.41,82.85,82.06,77.45,71.71,65.30,60.46
"2/13/2012 22:15:51",79,47.41,82.74,81.84,77.34,71.71,65.30,60.46
"2/13/2012 22:15:54",79,47.41,82.74,81.84,77.34,71.71,65.30,60.46
"2/13/2012 22:15:58",79,47.41,82.62,81.84,77.22,71.71,65.19,60.46
"2/13/2012 22:16:1",79,47.41,82.74,81.84,77.34,71.71,65.19,60.46
"2/13/2012 22:16:4",79,47.41,82.62,81.72,77.22,71.82,65.19,60.46
"2/13/2012 22:16:6",79,47.41,82.62,81.61,77.22,71.71,65.19,60.46
"2/13/2012 22:16:13",79,47.41,82.62,81.50,77.22,71.71,65.19,60.46
"2/13/2012 22:16:15",79,47.41,82.51,81.61,77.11,71.71,65.19,60.46
"2/13/2012 22:16:19",79,47.41,82.51,81.50,77.11,71.60,65.07,60.46
"2/13/2012 22:16:24",79,47.41,82.40,81.39,77.11,71.60,65.07,60.46
"2/13/2012 22:16:26",79,47.41,82.40,81.27,77.00,71.60,65.19,60.46
"2/13/2012 22:16:30",79,47.41,82.40,81.16,77.00,71.60,65.19,60.46
"2/13/2012 22:16:34",79,47.41,82.40,80.94,77.00,71.60,65.19,60.46
"2/13/2012 22:16:37",78,47.30,82.18,80.94,77.00,71.60,65.19,60.46
"2/13/2012 22:16:40",79,47.41,82.29,80.94,77.00,71.49,65.19,60.46
"2/13/2012 22:16:46",78,47.41,82.06,80.94,76.89,71.49,65.19,60.46
"2/13/2012 22:16:49",78,47.30,82.06,80.94,76.89,71.49,65.07,60.46
"2/13/2012 22:16:54",78,47.30,81.95,80.71,76.89,71.60,65.07,60.46
"2/13/2012 22:16:57",78,47.30,81.84,80.71,76.77,71.49,65.07,60.46
"2/13/2012 22:17:2",78,47.30,81.95,80.60,76.77,71.49,65.07,60.46
"2/13/2012 22:17:3",78,47.30,81.84,80.49,76.66,71.49,65.07,60.35
